2P2IDB_ID;Family;UniProt;Class;Target;Partner;SuperFamily;SuperFamily_ID;Target_ID;Source;ExpData;PDBProtProt;InstanceID;PDBProtLig;Ligand;ChainID;ResidueNumber;Atoms;HeavyAtoms;MissingHeavyAtoms;MolecularWeight;ObservedFormula;Formula;Type;Covalent;Deposition_Date;Modified_Date;2P2IDB_Date;Name;SystematicName;InChI;InChIKey;SMILES;SDF
10102-0006;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;2O2M_LI0;2O2M;LI0;A;1000;88;48;0;688.856;C36 N4 O6 S2;C36 H40 N4 O6 S2;non-polymer;na;2006-11-30;2022-03-16;2022-05-01;REQAXYXBBHHBCA-UHFFFAOYSA-N;C1C(CCN(C1)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NC(CSc1ccccc1)(C)C)[N+](=O)[O-])(OC)Cc1ccccc1;2O2M_LI0_A_1000
10102-0007;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;SOLUTION NMR;5FMK;2O2N_LIW;2O2N;LIW;A;1000;93;52;0;735.914;C40 N5 O5 S2;C40 H41 N5 O5 S2;non-polymer;na;2006-11-30;2022-03-16;2022-05-01;QASBRWUYQCIPKZ-UHFFFAOYSA-N;c1c(ccc(c1)C(=O)NS(=O)(=O)c1cc(c(cc1)NC(C)(CSc1ccccc1)C)[N+](=O)[O-])N1CCN(CC1)Cc1ccccc1c1ccccc1;2O2N_LIW_A_1000
10102-0008;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;2YXJ_N3C;2YXJ;N3C;A;1001;100;55;0;813.427;C42 Cl N6 O5 S2;C42 H45 Cl N6 O5 S2;non-polymer;na;2007-04-26;2017-08-16;2022-05-01;HPLNQCPCUACXLM-PGUFJCEWSA-N;O=[N+]([O-])c1c(N[C@@H](CSc2ccccc2)CCN(C)C)ccc(c1)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(CC1)Cc1ccccc1c1ccc(cc1)Cl;2YXJ_N3C_A_1001
10102-0009;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;3INQ_X0J;3INQ;X0J;A;210;101;55;0;778.982;C42 N6 O5 S2;C42 H46 N6 O5 S2;non-polymer;na;2009-08-12;2017-08-23;2022-05-01;YVZYKXDSCCZVEP-PSXMRANNSA-N;c1ccccc1c1cccc(c1)CN1CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(N[C@H](CCN(C)C)CSc2ccccc2)c([N+](=O)[O-])c1;3INQ_X0J_A_210
10102-0010;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;3QKD_HI0;3QKD;HI0;A;218;102;57;0;837.452;C43 Cl N8 O4 S2;C43 H45 Cl N8 O4 S2;non-polymer;na;2011-01-31;2011-07-13;2022-05-01;LLJSSTLCMHGPSB-UUWRZZSWSA-N;C1N(CCN(C1)c1cc2ncnc(NS(=O)(=O)c3cc([N+](=O)[O-])c(N[C@H](CCN(C)C)CSc4ccccc4)cc3)c2cc1)Cc1ccccc1c1ccc(Cl)cc1;3QKD_HI0_A_218
10102-0011;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;3SP7_03B;3SP7;03B;A;210;112;62;0;908.526;C47 Cl N7 O6 S2;C47 H50 Cl N7 O6 S2;non-polymer;na;2011-07-01;2017-11-08;2022-05-01;IUXZRSUDCUOHPK-DIPNUNPCSA-N;N(C)(C)CC[C@@H](Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(CC3)c3cccc(c3)c3c(C(=O)O)c(n(C)c3c3ccc(Cl)cc3)C)cc2)cc1[N+](=O)[O-])CSc1ccccc1;3SP7_03B_A_210
10102-0012;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;3SPF_B50;3SPF;B50;A;501;73;36;0;525.082;C29 Cl N4 O3;C29 H37 Cl N4 O3;non-polymer;na;2011-07-01;2017-11-08;2022-05-01;DXJMWRCEEVNUJU-VWLOTQADSA-N;CN1CCN(CCCNC(=O)c2c(c3ccccc3)c(cn2CC[C@H](O)CO)c2ccc(Cl)cc2)CC1;3SPF_B50_A_501
10102-0013;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;Homo sapiens;X-RAY DIFFRACTION;5FMK;3WIZ_LC6;3WIZ;LC6;A;501;109;63;0;887.034;C47 N6 O8 S2;C47 H46 N6 O8 S2;non-polymer;na;2013-09-26;2017-08-23;2022-05-01;BNBDPYUSBJEPGX-UUWRZZSWSA-N;c1ccc(cc1)SC[C@@H](CCN(C)C)Nc1ccc(cc1[N+](=O)[O-])S(=O)(=O)NC(=O)c1ccc(c(c1)C)c1cccc2c(c(C(=O)O)nn12)CCCOc1cccc2ccccc12;3WIZ_LC6_A_501
10102-0014;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;HOMO SAPIENS;X-RAY DIFFRACTION;5FMK;3ZK6_H1I;3ZK6;H1I;A;1198;71;41;0;586.724;C31 N4 O4 S2;C31 H30 N4 O4 S2;non-polymer;na;2013-01-22;2013-06-05;2022-05-01;ZGVBPNIFKPDHBC-STKMKYKTSA-N;c1ccc2c(c1)nc(s2)N/N=C(\C)/c1ccc(o1)c1cccc(c1)S(=O)(=O)NC(=O)CCCCCc1ccccc1;3ZK6_H1I_A_1198
10102-0015;BCLXL/BAK;Q07817;1;BCLXL;BAK;BCL;101;10102;HOMO SAPIENS;X-RAY DIFFRACTION;5FMK;3ZLN_H0Y;3ZLN;H0Y;A;1197;47;29;0;414.480;C23 N4 O2 S;C23 H18 N4 O2 S;non-polymer;na;2013-02-04;2018-06-13;2022-05-01;ZGERKAMDOWOUTN-NLRVBDNBSA-N;OC(=O)c1nc(ccc1)c1ccc2CCC/C(=N\Nc3sc4ccccc4n3)/c2c1;3ZLN_H0Y_A_1197
